255,255,255,white,1
232,232,232,very light gray,49
228,232,232,very light bluish gray,99
175,181,199,light bluish gray,86
156,156,156,light gray,9
107,90,90,dark gray,10
89,93,96,dark bluish gray,85
33,33,33,black,11
106,14,21,dark red,59
179,0,6,red,5
178,34,34,rust,27
255,99,71,coral,220
255,69,0,dark salmon,231
240,128,128,salmon,25
255,218,185,light salmon,26
140,107,107,sand red,58
137,53,29,reddish brown,88
83,33,21,brown,8
51,0,0,dark brown,120
144,116,80,dark tan,69
222,198,156,tan,2
254,204,176,light nougat,90
255,175,125,nougat,28
227,160,91,medium nougat,150
231,139,62,dark nougat,225
119,65,37,medium brown,91
179,105,78,fabuland brown,106
239,145,33,fabuland orange,160
230,136,29,earth orange,29
179,84,8,dark orange,68
250,89,71,neon orange,165
255,126,20,orange,4
255,165,49,medium orange,31
247,186,48,bright light orange,110
247,173,99,light orange,32
230,192,93,very light orange,96
221,152,46,dark yellow,161
247,209,23,yellow,3
243,224,85,bright light yellow,103
255,227,131,light yellow,33
235,238,143,light lime,35
223,238,165,yellowish green,158
188,239,102,neon green,166
189,198,24,medium lime,76
166,202,85,lime,34
124,144,81,olive green,155
46,85,67,dark green,80
0,100,46,green,6
16,203,49,bright green,36
98,245,142,medium green,37
165,219,181,light green,38
118,162,144,sand green,48
0,138,128,dark turquoise,39
49,181,202,light turquoise,40
181,211,214,aqua,41
204,255,255,light aqua,152
20,48,68,dark blue,63
0,87,166,blue,7
51,153,255,dark azure,153
66,192,251,medium azure,156
97,175,255,medium blue,42
107,173,214,maersk blue,72
159,195,233,bright light blue,105
180,210,227,light blue,62
125,191,221,sky blue,87
90,113,132,sand blue,55
80,108,239,blue-violet,97
32,50,176,dark blue-violet,109
52,72,164,violet,43
147,145,228,medium violet,73
201,202,226,light violet,44
95,38,131,dark purple,89
165,73,156,purple,24
218,112,214,light purple,93
136,94,158,medium lavender,157
224,170,217,clikits lavender,227
177,140,191,lavender,154
181,125,165,sand purple,54
181,41,82,magenta,71
200,112,128,dark pink,47
247,133,177,medium dark pink,94
255,187,255,bright pink,104
255,192,203,pink,23
255,255,255,light pink,56
